Ratio_1_FI,Ratio_1_PI,std_actual_tour_length,Ratio_2_FI,Ratio_2_PI,Ratio_2_NI,Ratio_4_FI,Ratio_4_PI,Ratio_4_NI
134.0209351,323.7188873,400.7356758,143.0217896,351.0950375,375.4805145,151.5271301,284.4977417,344.234005
138.3042297,312.6965637,348.8832588,142.6404419,269.7130594,341.7382927,140.1342468,272.4539957,340.3311977
137.9329376,159.2152269,367.684679,137.3838806,147.8748169,389.8031921,139.2938995,157.4647369,376.6381226
131.812088,180.6389465,380.1170216,136.8785095,155.6307431,331.4710712,148.2704926,151.3123169,323.9657478
128.8001709,182.5374472,352.5577717,152.0996857,160.7876303,346.6169147,149.6233063,157.2094817,306.9931641
128.8275757,187.1271033,370.0516853,141.3453369,150.5380402,340.4818897,150.3555298,174.1260529,359.5463696
136.2143402,202.4902952,358.1713886,143.7676239,159.0145235,345.9457989,147.5234528,143.7398376,363.0620613
136.2143402,177.4213431,342.9758263,142.4996796,135.052948,332.7400627,148.3495941,148.0926208,335.5107384
131.5148315,181.5442979,350.9038105,144.3948669,120.0239334,328.9161568,144.2037659,133.0462189,341.2916546
132.3518677,191.8333511,350.0167065,152.2812653,133.522171,359.7179298,141.9947357,133.5010834,257.6388407
130.3139648,209.7276387,349.4854851,152.2812653,133.299881,344.121336,143.3126678,142.0109558,371.941555
132.3518677,148.2771333,391.9118462,152.2812653,122.0997086,332.2861576,143.8690948,129.9129181,328.4813347
130.6457977,163.0159425,353.7241669,143.5918884,128.2945862,345.2696095,148.4544983,127.6391983,334.3040047
129.5886841,155.1981807,401.7560577,156.9199524,136.4400635,352.8486156,143.0259247,117.1742172,307.3758373
129.5886841,143.0154266,358.7328529,132.484436,124.7668991,316.5741844,146.4579773,138.9852905,319.7248402
126.379921,177.1557692,391.6943684,145.5340424,117.2834549,358.6757698,148.8964081,115.4201279,347.0631905
126.060463,168.6004272,396.1792221,129.5176849,109.8490372,363.1124763,148.6290283,127.1510925,358.2273598
132.1332855,172.1285658,396.0348396,147.1770935,138.2268829,374.6763039,144.7080383,117.6136475,373.2455978
132.1332855,140.1068268,405.715416,150.819397,167.6270789,390.6524582,145.1105347,125.6505585,366.8409424
125.9968262,139.5305176,396.2933197,144.1179504,144.5632172,390.7195854,148.4356689,108.2498932,345.8715973
124.3448486,131.445343,380.306654,142.8562317,141.6329803,380.467186,147.2174835,138.6178589,348.409008
127.8989792,136.0806274,385.7307968,133.5265808,147.1652222,366.8447571,149.5256195,136.6838379,392.9880905
125.3279572,147.8370972,399.6399498,141.5912781,145.7896881,334.0459328,145.2571106,140.1152496,384.6347275
124.4505157,143.4621887,396.6375809,136.027771,155.984663,385.764473,150.2013245,146.5511627,346.8040199
128.7827911,147.5198975,383.5586834,141.7628937,155.4042969,393.8099327,135.6004639,112.3457794,359.291151
127.6376266,140.4562988,402.2115707,146.0861969,112.0460129,386.8135109,147.5643463,117.8728485,386.4702835
131.6507568,166.3121219,390.2190437,141.0016479,170.4031893,368.7307434,145.0264282,147.8548737,348.2729759
126.0775604,144.6771393,379.1229515,138.2639008,160.2061874,384.6096497,150.2268982,128.3472595,360.6800423
122.4317551,165.2969613,362.6316967,141.6849823,162.1051995,369.5565605,142.4389801,160.5802429,371.7008896
117.1022186,140.0318451,389.2779007,136.9332123,142.7947693,391.222435,138.6130066,157.967926,367.7206726
125.6374207,139.3125458,376.9915791,137.3983612,138.1299145,357.8279133,138.8040924,135.3913116,342.0798912
111.9509354,138.9812164,376.1474342,134.6164398,138.0685272,370.0323372,140.9574127,142.0952301,337.6800556
121.5327988,162.4631807,355.238102,132.2433472,141.5494232,383.3849297,148.9664154,135.0516968,368.633316
